Organization,date,rating_max,rating_max_max,diff
Nvidia,20240501,1082.4713591517852,1258.8152791324717,-176.34391998068645
Nvidia,20240508,1082.4338710867946,1257.634537277757,-175.20066619096247
Nvidia,20240515,1083.0548812196944,1289.1649796223994,-206.11009840270503
Nvidia,20240516,1083.0560580432525,1287.0545165170488,-203.9984584737963
Nvidia,20240519,1083.1686752631867,1286.6349805191508,-203.46630525596402
Nvidia,20240520,1083.3532698357658,1286.7607663626156,-203.40749652684985
Nvidia,20240527,1080.1981791196124,1287.105368804916,-206.9071896853036
Nvidia,20240602,1080.1519079405948,1286.724442487022,-206.57253454642728
Nvidia,20240606,1080.210896109063,1286.793605081983,-206.58270897292005
Nvidia,20240611,1080.1457263362986,1286.615493266081,-206.4697669297825
Nvidia,20240617,1207.9990879282132,1286.877192983147,-78.87810505493394
Nvidia,20240621,1206.126187844492,1286.6621224244868,-80.53593457999477
Nvidia,20240623,1204.9746491652245,1287.2995138080096,-82.32486464278509
Nvidia,20240626,1205.1753736276,1286.9992710588658,-81.82389743126578
Nvidia,20240629,1205.4474940108098,1287.0196469719676,-81.57215296115783
Nvidia,20240706,1207.329941977357,1287.3959975556716,-80.06605557831449
Nvidia,20240708,1207.852272586727,1287.4660504645813,-79.61377787785432
Nvidia,20240716,1209.208794602236,1286.89343680061,-77.68464219837415
Nvidia,20240722,1209.2297986475114,1286.7526639333005,-77.52286528578907
Nvidia,20240725,1209.2395595767894,1286.72314411263,-77.48358453584069
Nvidia,20240730,1209.1095303261775,1286.0654503209348,-76.95591999475732
Nvidia,20240731,1209.052867001816,1286.050441617469,-76.9975746156531
Nvidia,20240801,1209.0253854335556,1299.7491676177356,-90.72378218417998
Nvidia,20240805,1208.9483489382042,1299.2243863203976,-90.27603738219341
Nvidia,20240806,1209.0219714101268,1299.424778650532,-90.40280724040531
Nvidia,20240813,1208.9647615321337,1313.5454668908842,-104.58070535875049
Nvidia,20240822,1209.0141358700855,1316.7861206214911,-107.77198475140563
Nvidia,20240823,1209.0566667613325,1316.8023351337524,-107.74566837241991
Nvidia,20240827,1208.9916434641889,1316.1231754354546,-107.13153197126576
Nvidia,20240828,1209.0113576689246,1316.1559008799543,-107.14454321102971
Nvidia,20240904,1208.97669924182,1315.6201862465268,-106.64348700470691
Nvidia,20240915,1208.8755680225331,1336.1025293518214,-127.22696132928832
Nvidia,20240917,1208.899762234974,1355.2309449872544,-146.33118275228026
Nvidia,20240927,1208.9364002943205,1339.0830729150762,-130.14667262075568
Nvidia,20241007,1208.9706934937444,1338.2515483211362,-129.28085482739175
Nvidia,20241015,1209.167865363543,1339.07837805003,-129.9105126864872
Nvidia,20241023,1266.815130451609,1340.2356888916693,-73.42055844006018
Nvidia,20241028,1270.7363749834003,1340.1561178918114,-69.41974290841108
Nvidia,20241104,1270.9737790195272,1340.1765148323448,-69.20273581281754
Nvidia,20241112,1269.54625608599,1340.1350821631534,-70.58882607716328
Nvidia,20241113,1269.3831964645128,1344.1632885393035,-74.78009207479067
Nvidia,20241120,1268.9106701967366,1361.3348553306314,-92.42418513389475
Nvidia,20241121,1268.7969124373717,1365.36671090733,-96.56979846995819
Nvidia,20241122,1268.9855788448615,1365.313326638311,-96.32774779344959
Nvidia,20241201,1268.4998110938827,1366.0708398859188,-97.57102879203603
Nvidia,20241205,1268.5111738273051,1379.38160842967,-110.87043460236487
Nvidia,20241210,1268.821328798726,1376.7849461246587,-107.96361732593277
Nvidia,20241215,1268.7771175092253,1373.5123129166277,-104.73519540740244
Nvidia,20241218,1268.6789734780482,1372.4524723971635,-103.77349891911535
Nvidia,20241222,1268.6710514880087,1371.8168354408217,-103.14578395281296
Nvidia,20241230,1268.622011746883,1373.4593976638484,-104.83738591696556
Nvidia,20250105,1268.9708517054285,1374.203561220555,-105.23270951512654
Nvidia,20250115,1268.8394863035874,1373.7231773717144,-104.88369106812706
Nvidia,20250119,1268.6512290890223,1374.2399172343833,-105.58868814536095
Nvidia,20250121,1268.7140575049489,1380.4142304412765,-111.70017293632759
Nvidia,20250122,1268.7140575049489,1380.4142304412765,-111.70017293632759
Nvidia,20250124,1268.5800690829092,1381.797608931306,-113.21753984839688
Nvidia,20250128,1268.6773881641404,1381.9950998330671,-113.31771166892668
Nvidia,20250203,1268.5984070092695,1383.5345465690066,-114.93613955973706
Nvidia,20250205,1268.5818588963016,1383.834545551439,-115.2526866551375
Nvidia,20250206,1268.559188639981,1383.2100734039186,-114.65088476393771
Nvidia,20250209,1268.601064913933,1384.2258425332157,-115.62477761928267
Nvidia,20250211,1268.3586427314722,1383.920549101504,-115.56190637003192
Nvidia,20250214,1268.4674447913503,1384.63146356482,-116.1640187734697
Nvidia,20250217,1268.4127101964832,1402.237025188755,-133.82431499227187
Nvidia,20250221,1268.3672303245662,1403.1097176988503,-134.7424873742841
Nvidia,20250227,1268.3647756509126,1403.4550352813053,-135.09025963039267
Nvidia,20250303,1268.1753577565796,1411.5470385735089,-143.37168081692926
Nvidia,20250311,1268.192116030937,1406.6043132437896,-138.41219721285256
Nvidia,20250315,1268.1598827823004,1405.9700620095723,-137.81017922727187
Nvidia,20250317,1268.251676007761,1406.142956265074,-137.89128025731293
Nvidia,20250320,1294.3466191664252,1404.0372650160534,-109.69064584962825
Nvidia,20250325,1296.3793097314058,1443.2684762576891,-146.88916652628336
Nvidia,20250326,1296.269854661523,1442.9589925419386,-146.68913788041573
OpenAI,20230508,1274.1856580388371,1274.1856580388371,0.0
OpenAI,20230522,1224.5665483232208,1224.5665483232208,0.0
OpenAI,20230619,1148.811728998083,1148.811728998083,0.0
OpenAI,20230717,1184.9181849464978,1200.7036710873972,-15.785486140899366
OpenAI,20230802,1173.7832629874092,1204.068009755004,-30.284746767594697
OpenAI,20230905,1146.9382959321838,1204.068009755004,-57.12971382282012
OpenAI,20231002,1149.627870563155,1203.747314417359,-54.11944385420384
OpenAI,20231108,1132.282871690407,1137.0639954374349,-4.781123747027777
OpenAI,20231116,1194.612622476018,1194.612622476018,0.0
OpenAI,20231206,1199.9728429409397,1199.9728429409397,0.0
OpenAI,20231215,1228.2589125567551,1228.2589125567551,0.0
OpenAI,20231220,1224.17800278768,1224.17800278768,0.0
OpenAI,20240109,1184.4213902147933,1184.4213902147933,0.0
OpenAI,20240118,1195.3746851356248,1195.3746851356248,0.0
OpenAI,20240125,1189.1909177910618,1189.1909177910618,0.0
OpenAI,20240202,1185.0242535070245,1185.0242535070245,0.0
OpenAI,20240215,1187.8907744246449,1187.8907744246449,0.0
OpenAI,20240305,1206.0258696021788,1206.0258696021788,0.0
OpenAI,20240307,1211.4484591782004,1211.4484591782004,0.0
OpenAI,20240313,1185.8639026681783,1192.3879927185628,-6.52409005038453
OpenAI,20240326,1170.1134953934936,1170.1134953934936,0.0
OpenAI,20240327,1251.1707801690416,1253.5558630630308,-2.3850828939891926
OpenAI,20240403,1252.8567483234224,1255.9136160403054,-3.056867716883062
OpenAI,20240409,1253.9421400936787,1255.8232577594238,-1.8811176657450233
OpenAI,20240410,1254.217113334657,1255.912690510752,-1.6955771760951848
OpenAI,20240411,1260.7410988821052,1260.7410988821052,0.0
OpenAI,20240413,1259.5083527473555,1259.5083527473555,0.0
OpenAI,20240418,1258.3213973971626,1258.3213973971626,0.0
OpenAI,20240419,1258.8236517153468,1258.8236517153468,0.0
OpenAI,20240422,1258.8651046852444,1258.8651046852444,0.0
OpenAI,20240426,1257.3994068657073,1257.3994068657073,0.0
OpenAI,20240501,1258.8152791324717,1258.8152791324717,0.0
OpenAI,20240508,1257.634537277757,1257.634537277757,0.0
OpenAI,20240515,1289.1649796223994,1289.1649796223994,0.0
OpenAI,20240516,1287.0545165170488,1287.0545165170488,0.0
OpenAI,20240519,1286.6349805191508,1286.6349805191508,0.0
OpenAI,20240520,1286.7607663626156,1286.7607663626156,0.0
OpenAI,20240527,1287.105368804916,1287.105368804916,0.0
OpenAI,20240602,1286.724442487022,1286.724442487022,0.0
OpenAI,20240606,1286.793605081983,1286.793605081983,0.0
OpenAI,20240611,1286.615493266081,1286.615493266081,0.0
OpenAI,20240617,1286.877192983147,1286.877192983147,0.0
OpenAI,20240621,1286.6621224244868,1286.6621224244868,0.0
OpenAI,20240623,1287.2995138080096,1287.2995138080096,0.0
OpenAI,20240626,1286.9992710588658,1286.9992710588658,0.0
OpenAI,20240629,1287.0196469719676,1287.0196469719676,0.0
OpenAI,20240706,1287.3959975556716,1287.3959975556716,0.0
OpenAI,20240708,1287.4660504645813,1287.4660504645813,0.0
OpenAI,20240716,1286.89343680061,1286.89343680061,0.0
OpenAI,20240722,1286.7526639333005,1286.7526639333005,0.0
OpenAI,20240725,1286.72314411263,1286.72314411263,0.0
OpenAI,20240730,1286.0654503209348,1286.0654503209348,0.0
OpenAI,20240731,1286.050441617469,1286.050441617469,0.0
OpenAI,20240801,1285.8850127576295,1299.7491676177356,-13.864154860106055
OpenAI,20240805,1286.0673520492296,1299.2243863203976,-13.157034271167959
OpenAI,20240806,1286.1295998590049,1299.424778650532,-13.295178791527178
OpenAI,20240813,1313.5454668908842,1313.5454668908842,0.0
OpenAI,20240822,1316.7861206214911,1316.7861206214911,0.0
OpenAI,20240823,1316.8023351337524,1316.8023351337524,0.0
OpenAI,20240827,1316.1231754354546,1316.1231754354546,0.0
OpenAI,20240828,1316.1559008799543,1316.1559008799543,0.0
OpenAI,20240904,1315.6201862465268,1315.6201862465268,0.0
OpenAI,20240915,1336.1025293518214,1336.1025293518214,0.0
OpenAI,20240917,1355.2309449872544,1355.2309449872544,0.0
OpenAI,20240927,1339.0830729150762,1339.0830729150762,0.0
OpenAI,20241007,1338.2515483211362,1338.2515483211362,0.0
OpenAI,20241015,1339.07837805003,1339.07837805003,0.0
OpenAI,20241023,1340.2356888916693,1340.2356888916693,0.0
OpenAI,20241028,1340.1561178918114,1340.1561178918114,0.0
OpenAI,20241104,1340.1765148323448,1340.1765148323448,0.0
OpenAI,20241112,1340.1350821631534,1340.1350821631534,0.0
OpenAI,20241113,1339.535856136632,1344.1632885393035,-4.627432402671502
OpenAI,20241120,1361.3348553306314,1361.3348553306314,0.0
OpenAI,20241121,1360.0367478493206,1365.36671090733,-5.329963058009298
OpenAI,20241122,1360.9973047018298,1365.313326638311,-4.31602193648132
OpenAI,20241201,1366.0708398859188,1366.0708398859188,0.0
OpenAI,20241205,1365.9892112604955,1379.38160842967,-13.392397169174501
OpenAI,20241210,1365.9849583089588,1376.7849461246587,-10.799987815699978
OpenAI,20241215,1364.770721234866,1373.5123129166277,-8.741591681761747
OpenAI,20241218,1364.4900732730498,1372.4524723971635,-7.962399124113745
OpenAI,20241222,1364.4580374823736,1371.8168354408217,-7.358797958448122
OpenAI,20241230,1364.5148343449157,1373.4593976638484,-8.944563318932751
OpenAI,20250105,1364.7209018260608,1374.203561220555,-9.482659394494249
OpenAI,20250115,1364.6543930067332,1373.7231773717144,-9.068784364981184
OpenAI,20250119,1365.0024654724132,1374.2399172343833,-9.237451761970078
OpenAI,20250121,1364.8434809140986,1380.4142304412765,-15.570749527177895
OpenAI,20250122,1364.8434809140986,1380.4142304412765,-15.570749527177895
OpenAI,20250124,1364.8870670545884,1381.797608931306,-16.910541876717616
OpenAI,20250128,1365.2448774533657,1381.9950998330671,-16.750222379701427
OpenAI,20250203,1365.38897939793,1383.5345465690066,-18.145567171076664
OpenAI,20250205,1365.297003893099,1383.834545551439,-18.53754165834016
OpenAI,20250206,1365.0133025195216,1383.2100734039186,-18.196770884396983
OpenAI,20250209,1365.0521362306386,1384.2258425332157,-19.173706302577102
OpenAI,20250211,1377.1010771480114,1383.920549101504,-6.819471953492666
OpenAI,20250214,1377.329326767679,1384.63146356482,-7.3021367971409745
OpenAI,20250217,1376.6146435507949,1402.237025188755,-25.62238163796019
OpenAI,20250221,1376.9160979990036,1403.1097176988503,-26.19361969984675
OpenAI,20250227,1376.9918848883822,1403.4550352813053,-26.463150392923126
OpenAI,20250303,1411.009631649216,1411.5470385735089,-0.5374069242927817
OpenAI,20250311,1404.3493863380847,1406.6043132437896,-2.254926905704906
OpenAI,20250315,1400.201592545379,1405.9700620095723,-5.768469464193231
OpenAI,20250317,1399.6433732231856,1406.142956265074,-6.4995830418884
OpenAI,20250320,1398.401479948327,1404.0372650160534,-5.635785067726374
OpenAI,20250325,1398.1930360342262,1443.2684762576891,-45.07544022346292
OpenAI,20250326,1407.8553257475917,1442.9589925419386,-35.103666794346964
OpenAssistant,20230508,928.8824468089556,1274.1856580388371,-345.3032112298815
OpenAssistant,20230522,921.0972051898513,1224.5665483232208,-303.46934313336953
OpenAssistant,20230619,916.2578786302284,1148.811728998083,-232.55385036785458
OpenAssistant,20230717,919.961448738522,1200.7036710873972,-280.7422223488752
OpenAssistant,20230802,896.3617954040186,1204.068009755004,-307.7062143509853
OpenAssistant,20230905,884.8906250610676,1204.068009755004,-319.17738469393635
OpenAssistant,20231002,887.1021748621504,1203.747314417359,-316.6451395552085
OpenAssistant,20231108,883.4838339513763,1137.0639954374349,-253.5801614860586
OpenAssistant,20231116,883.4951313432862,1194.612622476018,-311.11749113273186
OpenAssistant,20231206,871.4514868037804,1199.9728429409397,-328.5213561371593
OpenAssistant,20231215,871.4608477645943,1228.2589125567551,-356.79806479216086
OpenAssistant,20231220,871.4608477645943,1224.17800278768,-352.71715502308575
OpenAssistant,20240109,870.3641107454237,1184.4213902147933,-314.05727946936963
OpenAssistant,20240118,870.3640837865709,1195.3746851356248,-325.0106013490539
OpenAssistant,20240125,870.3641107454237,1189.1909177910618,-318.82680704563813
OpenAssistant,20240202,870.4067570302726,1185.0242535070245,-314.61749647675185
OpenAssistant,20240215,870.4479750820033,1187.8907744246449,-317.4427993426416
OpenAssistant,20240305,870.4479481292841,1206.0258696021788,-335.5779214728947
OpenAssistant,20240307,870.6609069202104,1211.4484591782004,-340.78755225799
OpenAssistant,20240313,870.6609069202104,1192.3879927185628,-321.7270857983524
OpenAssistant,20240326,868.659820855877,1170.1134953934936,-301.4536745376166
OpenAssistant,20240327,892.629394294361,1253.5558630630308,-360.9264687686698
OpenAssistant,20240403,896.4629215968237,1255.9136160403054,-359.4506944434818
OpenAssistant,20240409,897.4611772744454,1255.8232577594238,-358.3620804849784
OpenAssistant,20240410,897.6981276425319,1255.912690510752,-358.21456286822024
OpenAssistant,20240411,898.1665933626549,1260.7410988821052,-362.5745055194503
OpenAssistant,20240413,898.6180404918462,1259.5083527473555,-360.89031225550934
OpenAssistant,20240418,899.3773141319201,1258.3213973971626,-358.9440832652425
OpenAssistant,20240419,898.8561478844173,1258.8236517153468,-359.96750383092956
OpenAssistant,20240422,898.9097075909348,1258.8651046852444,-359.95539709430966
OpenAssistant,20240426,899.5304145961725,1257.3994068657073,-357.86899226953483
OpenAssistant,20240501,900.2948677134343,1258.8152791324717,-358.5204114190374
OpenAssistant,20240508,900.2720694617583,1257.634537277757,-357.3624678159988
OpenAssistant,20240515,901.3518259008256,1289.1649796223994,-387.8131537215738
OpenAssistant,20240516,901.4446756828436,1287.0545165170488,-385.6098408342052
OpenAssistant,20240519,901.61367446128,1286.6349805191508,-385.0213060578708
OpenAssistant,20240520,901.857335506728,1286.7607663626156,-384.9034308558877
OpenAssistant,20240527,892.9616745345571,1287.105368804916,-394.1436942703589
OpenAssistant,20240602,892.9363247006208,1286.724442487022,-393.78811778640124
OpenAssistant,20240606,893.0573147823654,1286.793605081983,-393.7362902996176
OpenAssistant,20240611,892.9747068284324,1286.615493266081,-393.64078643764867
OpenAssistant,20240617,893.0582932271938,1286.877192983147,-393.81889975595334
OpenAssistant,20240621,893.0751091952039,1286.6621224244868,-393.5870132292829
OpenAssistant,20240623,892.9459180333092,1287.2995138080096,-394.35359577470035
OpenAssistant,20240626,892.9522894248444,1286.9992710588658,-394.04698163402145
OpenAssistant,20240629,893.0238175396272,1287.0196469719676,-393.99582943234043
OpenAssistant,20240706,893.1887420363746,1287.3959975556716,-394.20725551929695
OpenAssistant,20240708,893.1937435890537,1287.4660504645813,-394.27230687552753
OpenAssistant,20240716,893.205643691638,1286.89343680061,-393.6877931089721
OpenAssistant,20240722,893.45497917487,1286.7526639333005,-393.2976847584305
OpenAssistant,20240725,893.3375428036707,1286.72314411263,-393.3856013089594
OpenAssistant,20240730,893.3199300103387,1286.0654503209348,-392.74552031059613
OpenAssistant,20240731,893.3243906969795,1286.050441617469,-392.72605092048946
OpenAssistant,20240801,893.3676323632486,1299.7491676177356,-406.38153525448695
OpenAssistant,20240805,893.4831412130388,1299.2243863203976,-405.74124510735874
OpenAssistant,20240806,893.1777889397434,1299.424778650532,-406.2469897107886
OpenAssistant,20240813,893.3419304734216,1313.5454668908842,-420.2035364174626
OpenAssistant,20240822,893.6087915667841,1316.7861206214911,-423.177329054707
OpenAssistant,20240823,893.6452417939357,1316.8023351337524,-423.1570933398167
OpenAssistant,20240827,893.7060748910739,1316.1231754354546,-422.4171005443808
OpenAssistant,20240828,893.7055367610471,1316.1559008799543,-422.45036411890715
OpenAssistant,20240904,893.6832645208118,1315.6201862465268,-421.936921725715
OpenAssistant,20240915,893.4782707652996,1336.1025293518214,-442.6242585865218
OpenAssistant,20240917,893.6111474208418,1355.2309449872544,-461.61979756641256
OpenAssistant,20240927,893.5421854811154,1339.0830729150762,-445.54088743396073
OpenAssistant,20241007,893.5054564984578,1338.2515483211362,-444.7460918226784
